Country,Month,Total,N_Languages,Max_N,Variance,Skewness,Kurtosis
JPN,2019-06,216647,2,200932,420609528.06831145,9.618770898883575,90.67893589756832
JPN,2019-07,349116,2,323344,959446688.6100914,10.269271183634874,103.63599552260129
JPN,2019-08,379250,2,352332,1118500744.2060597,10.36922045604034,105.67907397994827
JPN,2019-09,378675,2,349886,1188701924.2897398,9.97444242374232,97.65791543547905
JPN,2019-10,403085,2,370555,1271973210.385168,10.215509759951209,102.56653398542339
JPN,2019-11,407635,2,373982,1216739910.0007625,10.551532351708508,109.55184242644503
JPN,2019-12,405222,2,372871,1324284076.7890112,10.07296957428204,99.64123742906659
JPN,2020-01,378442,2,347681,1162676326.4865572,10.020143024115482,98.5988409210172
JPN,2020-02,369452,3,339434,1020089175.3413403,10.45648435074144,107.55401623975644
JPN,2020-03,416775,2,385758,1340897652.8353808,10.366914313241477,105.64641421772814
PRK,2017-07,14241,9,7507,1173980.463529412,6.045805006930433,37.47388370762526
PRK,2017-08,9433,10,5185,623881.2858585858,5.768681057307154,33.63011274736599
PRK,2017-09,17901,12,10833,1880693.640625,7.30688585232192,53.56873697894431
PRK,2017-10,8402,10,4674,502031.1191919193,5.857956214557932,34.42300286455402
PRK,2018-07,13077,14,2721,289273.2811059909,3.440031929292454,11.941627386449468
PRK,2018-08,11044,13,2238,245529.8770090846,3.010556058499276,8.662960716836212
PRK,2018-09,17314,13,4384,595407.6102564103,3.972861784620021,16.081380675721622
PRK,2018-10,26840,12,7763,1495847.965198075,4.446570408125038,20.644237858336453
PRK,2018-11,62567,10,20763,9342419.873043818,4.799146033705682,25.18813191168578
PRK,2018-12,154084,9,53238,55499401.21288412,5.140108475598461,29.64390390827068
PRK,2019-01,157998,10,55961,53261224.274258204,5.6487479533216005,35.41851205443342
PRK,2019-02,140787,10,50078,40629825.36015492,5.818765122249092,38.70807411886712
PRK,2019-03,129466,10,39660,30181438.85800272,4.9842039252353825,27.734976442536162
PRK,2019-04,106803,10,28511,20619867.63352045,4.646894503561825,21.90843442527279
PRK,2019-05,100326,12,21326,18456011.862633184,3.8148204132090586,13.814707480202799
PRK,2019-06,77511,14,18042,10236902.901621621,4.043862888040659,16.1491098142865
PRK,2019-07,134600,13,30831,24458319.058676656,4.208220859836138,18.278728730563717
PRK,2019-08,161979,11,57680,53609803.29885394,5.9026923669357805,39.61534929324686
PRK,2019-09,153533,11,58043,54536984.127160504,6.083756143403138,40.947298625904196
PRK,2019-10,157719,9,58266,53555738.66716824,6.040652700656024,40.878604829579814
PRK,2019-11,169758,10,60776,62691792.74182445,5.758063101587831,36.622100835852265
PRK,2019-12,163802,10,60742,61767242.168100975,5.882835716279474,37.92839014112029
PRK,2020-01,158582,10,53498,52287882.093772896,5.622737731916649,33.49186816365329
PRK,2020-02,150115,10,50723,45833195.299764894,5.440351068765946,32.52917479478077
PRK,2020-03,177763,11,62381,62240202.96922902,6.013249683292263,39.29911323856907
KOR,2017-04,66667,9,30255,10039746.62979271,7.835393673177812,65.71343461759211
KOR,2017-05,103722,8,40127,22955246.79542857,7.215369915819402,52.42462194943215
KOR,2017-06,131545,8,52843,29884441.39995276,7.68351770528181,62.55276844648651
KOR,2017-07,95041,9,42348,18089032.186002173,8.288273177526818,72.64208644763782
KOR,2017-08,32707,9,15624,3840625.87421113,6.6683543646440855,45.74576149013111
KOR,2017-09,63493,9,28399,9630480.114215689,7.7161634669198795,61.29397002901767
KOR,2017-10,26982,10,11771,2235224.329591019,6.504047824242352,43.44857000109005
KOR,2017-11,2175,4,1911,164635.8376623377,4.329707304189632,16.85011875746534
KOR,2017-12,2714,4,2358,205082.9515669516,4.84589953612053,21.665666552738788
KOR,2018-01,1944,4,1760,146371.45714285708,4.2295023883888065,15.945313060455277
KOR,2018-02,2506,4,2276,270396.09941520466,3.9873058445093146,13.954456621148921
KOR,2018-03,2026,4,1782,195766.91666666666,3.586803660925361,10.938465761264256
KOR,2018-04,1125,4,948,67637.26923076923,3.124395973366144,7.877256318211028
KOR,2018-05,2493,5,2160,140527.31818181818,5.449245085153418,27.80923388367467
KOR,2018-06,1535,4,1406,108822.33006535946,3.8698650604247824,13.006098543516224
KOR,2018-07,1585,4,1376,142593.7435897436,3.1517276263378635,7.98990688193795
KOR,2018-08,1392,4,1209,60362.17391304348,4.556099906904583,18.85624128532889
KOR,2018-09,2622,6,2108,175981.60999999996,4.618751900080023,19.56664041189199
KOR,2018-10,4020,6,3522,491529.9166666665,4.676687914328376,19.931645615874775
KOR,2018-11,41712,9,19688,6372840.828070176,6.417905439920928,43.48111818156794
KOR,2018-12,331038,10,182907,241431398.6790881,10.493801705103555,115.53120046390565
KOR,2019-01,336637,11,199624,270432087.3923913,11.133412950952996,128.854128996378
KOR,2019-02,300508,10,178494,220708370.27796838,11.03617583284578,126.54093100373979
KOR,2019-03,278073,9,153661,169868923.5946979,10.537578749955584,116.58539339120404
KOR,2019-04,212464,10,108987,92684153.91919193,9.886937835374457,103.15332671621404
KOR,2019-05,177957,12,85804,59755159.76372974,9.557484224783707,96.49717195580239
KOR,2019-06,148502,9,75258,50213453.379033916,9.175202233189118,88.4630647948665
KOR,2019-07,240933,8,131204,132676021.85356398,10.07406650794173,106.605924775289
KOR,2019-08,331065,9,203677,280136225.1583086,11.321297940706986,132.32654989405071
KOR,2019-09,346474,8,225905,356704227.6073378,11.270273989336063,129.9565911382775
KOR,2019-10,374052,9,224232,364534918.0445638,10.771367451277694,120.61246029899063
KOR,2019-11,347951,9,176821,241142329.9443084,9.881687285233287,103.60508973299332
KOR,2019-12,335364,10,162546,193220616.1867038,10.026325881940123,107.41592573518939
KOR,2020-01,327554,9,174525,214354984.6325004,10.53993612501495,117.90574904728678
KOR,2020-02,288737,10,153229,178476029.42436057,10.197789562881216,110.10640995227479
