,iso3,Total_TW,Twitter: N. Languages,Max_N_TW,Twitter: Variance of Distribution,Twitter: Skewness of Distribution,Twitter: Kurtosis of Distribution,Total_TW2,Twitter LID2: N. Languages,Max_N_TW,Twitter LID2: Variance of Distribution,Twitter LID2: Skewness of Distribution,Twitter LID2: Kurtosis of Distribution,Total_CC,Web: N. Languages,Max_N_CC,Web: Variance of Distribution,Web: Skewness of Distribution,Web: Kurtosis of Distribution,Twitter: HHI,Twitter LID2: HHI,Web: HHI,Twitter: Change During COVID,Twitter: Type of Change During COVID
75,HRV,48092047.0,10,23030558.0,5299353204776.13,8.505238608126426,78.03724543671818,77744259.0,13,23745078.0,7783149100938.648,6.664707251071899,47.04997186062309,311712584.0,11,209211026.0,1390652363692575.0,5.149835907255225,25.022252034492716,,0.11017072060852982,0.46162753586281496,0.012477838,Decreasing HHI
76,HTI,130695540.0,5,61357905.0,41254661862973.16,7.799685434633288,65.62748040104749,136363191.0,5,61756206.0,42098399589533.67,7.730117659286395,64.58901131103333,180354606.0,4,162368819.0,2349627645907138.5,2.8334779937720542,6.056901122185373,0.3004348425494733,0.26781055774339074,0.8132539185614821,,No Change
77,HUN,103599155.0,12,39102208.0,18155382739373.555,7.768616433015578,61.735830865498315,114451976.0,12,39442289.0,18471930099545.215,7.698567724786493,60.987781529629935,4342472364.0,2,4068671493.0,5.5079529151233555e+17,5.17673414414591,24.87711725868029,,0.17262287730671586,0.8803931705981531,0.001061861,Decreasing HHI
78,IDN,90502300.0,8,72183634.0,23361788380315.785,14.721866720883583,216.0952285810776,304836525.0,4,157260863.0,135568859131542.23,11.895025217452364,148.65744837609643,48371644.0,1,46682269.0,180414536318607.88,3.01497449451646,7.090405580123404,,0.11610800057017094,0.9315025687037591,0.015121979,Decreasing HHI
79,IND,1333684251.0,11,775462067.0,2894726715080305.0,13.333545147331906,186.0165452639192,2155030871.0,9,786729430.0,5053998659389403.0,9.807699690705387,98.17104356820457,9079556874.0,4,7999907986.0,9.00234526337497e+17,8.215039899875123,65.65927826676614,,0.2045879893634659,0.7784910548303686,0.013063435,Decreasing HHI
80,IRL,338096013.0,3,315090744.0,813439629238529.2,10.896290610269023,116.8215551750994,356051311.0,4,315440124.0,815103525107897.8,10.884046116013986,116.64222482967534,4557972667.0,2,4457510194.0,5.6711165990495584e+17,5.656830819583668,30.01000019022767,0.8692511368251115,0.7566838006828762,0.9566912773257663,0.0129042,Decreasing HHI
81,IRN,219131854.0,6,147711631.0,171751599792966.97,10.545320748585402,114.10691773593346,227624252.0,6,148218738.0,171824300601405.12,10.561732133101163,114.59538400569336,0.0,0,--,--,--,--,,0.43250073930878224,0.0,,No Change
82,IRQ,95661417.0,8,60108108.0,31431784142222.613,9.99480755624022,102.47118857684498,104959763.0,9,60645396.0,32064289481381.773,9.935862563961976,101.55641924030537,10492495.0,2,8474032.0,15991858721324.25,0.9982067632735282,-0.8104438177147393,,0.32883206858661107,0.685775346870376,0.008824728,Increasing HHI
83,ISL,54930323.0,9,38055386.0,13436288930222.82,9.93521210140411,99.05625379398064,62178132.0,9,38175902.0,7554511054595.311,13.279571924280305,179.88060916107162,1345844058.0,4,735303954.0,9160526822451914.0,6.65274038848651,43.49391347373342,,0.34513874644811177,0.44636963362170673,,No Change
84,ISR,216158422.0,7,67156731.0,86687663604429.77,6.195963688036173,37.92609416253136,229166740.0,7,67544343.0,88043034081278.89,6.155096164882048,37.411784995025364,0.0,0,--,--,--,--,0.23805658073747477,0.20789411417162282,0.0,0.013941217,Decreasing HHI
85,ITA,339193913.0,6,250900051.0,512630997505317.7,10.560530894206636,112.6952563607047,353627802.0,6,252013877.0,513038277529905.8,10.594731323671722,113.49461015391725,10890283204.0,2,9650198400.0,2.123558199447682e+18,6.317424421624944,38.24927129602072,,0.5039900529408986,0.7926626513240957,0.029633124,Decreasing HHI
86,JAM,123675533.0,7,81817104.0,61471949671886.95,9.76869381928644,97.46991180295824,133478554.0,8,82328228.0,62260499530704.375,9.735153267264574,97.01855873788686,0.0,0,--,--,--,--,0.4629099368086887,0.37431374230255227,0.0,,No Change
